ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",37.4774,26,65,40.0,37.4774,42.541,40.7331,0.005,0.009,0.127,3.117,0.784,1.08,5.528,4.052,0.205,0.003,0.062,0.07,0.003,0.004,0.006,0.004,0.003,0.001,0.003,0.0,0.0,24.0,7.59,0.0,0.0,111.0,66.7,0.162,0.0,267.0,6.446,4.408,4.458,0.5,29.0,10.0,21.0,12.0,0.99,0.0,0.0,22.0,5.209,188.0,253.0,21.13,22.0,0.234,26.2,591.0,0.0,0.0,0.069,16.92,22.0,0.59,0.0,0.227,0.0,0.1,0.33,0.0,0.0,51.92,1.83
"Fast Foods, Fried Chicken, Thigh, meat and skin and breading",41.5571,26,65,40.0,41.5571,,43.5318,0.006,0.009,0.152,3.275,0.788,1.244,7.45,2.469,0.329,0.002,0.139,0.067,0.002,0.013,0.006,0.003,0.001,0.0,0.003,0.0,0.0,54.0,8.68,0.0,0.0,106.0,84.2,0.083,0.0,274.0,8.477,2.939,4.832,0.1,34.0,11.0,25.0,14.0,1.0,0.0,0.0,22.0,5.583,210.0,240.0,19.23,16.0,0.286,25.2,747.0,0.0,0.0,0.099,18.07,16.0,0.43,0.0,0.17,0.0,0.2,0.61,0.0,0.0,51.37,1.45
"Fast Foods, Fried Chicken, Wing, meat and skin and breading",47.5115,26,65,40.0,47.5115,54.7641,51.9911,0.006,0.011,0.178,3.558,0.832,1.426,8.635,2.782,0.416,0.002,0.165,0.071,0.003,0.017,0.007,0.004,0.0,0.0,0.004,0.0,0.0,67.0,11.19,0.0,0.0,114.0,82.2,0.079,0.0,310.0,9.753,3.354,5.358,0.1,37.0,8.0,25.0,17.0,1.04,0.0,0.0,24.0,6.452,220.0,262.0,21.14,16.0,0.243,28.4,867.0,0.0,0.0,0.092,20.09,16.0,0.46,0.0,0.194,0.0,0.1,0.74,0.0,0.0,44.57,1.33
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",5.5687,26,65,40.0,5.5687,5.9349,5.9777,0.11,0.132,0.493,2.585,0.183,1.147,3.623,2.815,0.304,0.001,0.071,0.026,0.003,0.003,0.006,0.001,0.079,0.063,0.043,0.0,0.0,143.0,30.36,0.0,91.0,23.0,25.5,0.107,0.0,282.0,3.941,3.217,4.805,2.3,136.0,43.0,98.0,55.0,2.45,22.0,1878.0,23.0,3.57,193.0,190.0,11.06,60.0,0.19,17.7,570.0,2.82,0.0,0.385,12.94,67.0,0.49,0.0,0.07,1.0,0.0,0.9,0.0,11.8,43.22,1.26
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",4.0629,26,65,40.0,4.0629,4.1606,4.2001,0.111,0.135,0.505,2.776,0.187,1.17,3.732,2.057,0.193,0.001,0.068,0.027,0.003,0.002,0.006,0.001,0.081,0.065,0.044,0.0,0.0,144.0,30.62,0.0,91.0,23.0,26.3,0.111,0.0,280.0,4.049,2.352,5.033,2.3,126.0,35.0,88.0,53.0,2.41,23.0,1884.0,24.0,3.8,193.0,197.0,11.5,60.0,0.19,20.3,570.0,3.32,0.0,0.345,12.35,68.0,0.48,0.0,0.08,1.7,0.0,0.91,0.0,6.7,43.06,1.32
"Pizza, cheese topping, thin crust, frozen, cooked",0.142,26,65,40.0,0.142,0.1963,0.1455,0.183,0.205,0.713,3.096,0.143,0.976,2.799,1.547,0.11,0.002,0.021,0.01,0.003,0.002,0.006,0.0,0.159,0.125,0.075,0.0,0.0,228.0,28.8,0.0,97.0,21.0,18.9,0.091,0.0,263.0,3.028,1.695,5.698,3.0,122.0,36.0,87.0,51.0,2.14,30.0,2013.0,24.0,1.283,215.0,201.0,11.91,64.0,0.127,21.4,471.0,3.71,0.0,0.103,11.07,72.0,0.62,0.0,0.13,0.1,0.0,0.74,0.0,4.2,46.01,1.49
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",-13.3971,26,65,40.0,-13.3971,-17.2617,-12.9787,0.233,0.275,0.898,2.82,0.168,0.997,2.463,1.348,0.155,0.0,0.027,0.017,0.003,0.001,0.006,0.0,0.175,0.143,0.091,0.0,0.0,238.0,30.0,1.0,87.0,30.0,17.3,0.081,0.0,274.0,2.771,1.547,5.825,1.7,125.0,40.0,90.0,50.0,2.04,45.0,935.0,22.0,3.763,249.0,229.0,12.23,110.0,0.333,16.0,615.0,2.9,0.0,0.323,11.63,117.0,0.4,0.0,0.119,3.1,0.0,0.67,0.0,8.3,43.37,1.49
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",17.682,27,65,41.5,17.682,23.5699,16.3586,0.042,0.061,0.221,1.777,0.067,0.666,2.626,5.41,0.724,0.0,0.053,0.01,0.004,0.002,0.002,0.0,0.038,0.028,0.016,0.0,0.0,87.0,44.48,0.0,7.0,7.0,7.5,0.107,0.0,343.0,2.778,6.16,2.966,2.4,233.0,24.0,147.0,123.0,4.65,10.0,0.0,22.0,7.08,129.0,132.0,12.2,23.0,0.56,22.0,539.0,1.11,0.0,0.493,12.88,24.0,0.13,0.0,0.103,0.0,0.0,0.88,0.0,21.1,28.38,1.02
"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",4.1896,26,65,40.0,4.1896,4.2173,,0.0,0.0,0.0,0.0,0.007,0.0,0.042,0.033,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.05,5.0,7.0,1.0,4.0,0.038,0.0,65.0,0.049,0.052,0.0,0.9,8.0,8.0,8.0,0.0,0.14,17.0,0.0,11.0,0.217,11.0,131.0,0.86,1.0,0.028,0.3,14.0,12.68,0.0,0.023,0.14,2.0,0.0,0.0,0.108,5.2,0.0,0.03,0.0,0.3,83.61,0.09
"School Lunch, pizza, cheese topping, thin crust, whole grain, frozen, cooked",-13.5226,26,65,40.0,-13.5226,,-13.7959,0.175,0.199,0.64,1.921,0.104,0.737,1.719,0.662,0.067,0.0,0.015,0.011,0.002,0.0,0.004,0.0,0.138,0.116,0.073,0.0,0.0,218.0,31.31,0.0,87.0,12.0,19.0,0.098,0.0,247.0,1.837,0.745,4.0,4.0,78.0,19.0,54.0,34.0,2.53,31.0,2027.0,51.0,2.996,316.0,348.0,12.72,59.0,0.347,22.7,421.0,7.12,0.0,0.284,7.91,66.0,1.49,0.0,0.163,0.0,0.0,0.75,0.0,4.2,45.64,1.97
"School Lunch, pizza, cheese topping, thick crust, whole grain, frozen, cooked",1.4551,26,65,40.0,1.4551,1.7869,1.5567,0.168,0.191,0.612,1.962,0.098,0.771,1.996,0.835,0.077,0.0,0.018,0.01,0.002,0.0,0.004,0.0,0.132,0.111,0.07,0.0,0.0,193.0,28.08,0.0,73.0,19.0,17.9,0.174,0.0,254.0,2.411,1.095,4.358,2.9,123.0,38.0,88.0,50.0,2.63,55.0,1829.0,40.0,3.242,284.0,303.0,14.62,32.0,0.179,29.9,421.0,5.02,0.0,0.242,9.27,38.0,2.1,0.0,0.104,0.4,0.0,0.72,0.0,5.8,45.73,1.83
"School Lunch, pizza, pepperoni topping, thin crust, whole grain, frozen, cooked",-16.4539,27,65,41.5,-16.4539,,-20.8246,0.114,0.129,0.422,1.324,0.118,0.521,1.905,1.954,0.188,0.0,0.017,0.033,0.006,0.0,0.011,0.0,0.089,0.075,0.047,0.0,0.0,202.0,31.24,0.0,106.0,24.0,37.7,0.1,0.0,254.0,2.12,2.23,2.81,4.3,80.0,19.0,55.0,36.0,2.74,24.0,1964.0,51.0,3.729,316.0,382.0,12.78,67.0,0.337,23.4,495.0,7.62,0.0,0.347,8.62,75.0,2.16,0.0,0.187,0.0,0.0,0.8,0.0,5.2,44.88,2.51
"School Lunch, pizza, pepperoni topping, thick crust, whole grain, frozen, cooked",3.1103,27,65,41.5,3.1103,,,0.153,0.174,0.6,2.114,0.149,0.894,2.315,0.701,0.062,0.0,0.024,0.014,0.002,0.0,0.004,0.0,0.12,0.101,0.063,0.0,0.0,155.0,28.3,0.0,83.0,24.0,23.2,0.079,0.0,259.0,2.89,1.21,4.219,4.3,87.0,20.0,59.0,39.0,2.53,21.0,1839.0,41.0,2.519,305.0,308.0,14.35,36.0,0.284,22.0,474.0,4.03,0.0,0.211,9.82,43.0,1.19,0.0,0.143,0.2,0.0,0.81,0.0,10.8,45.3,1.93
"School Lunch, pizza, sausage topping, thin crust, whole grain, frozen, cooked",-24.4449,26,65,40.0,-24.4449,,-26.4006,0.142,0.162,0.524,1.675,0.154,0.636,1.991,0.864,0.081,0.0,0.016,0.019,0.002,0.001,0.005,0.002,0.112,0.094,0.059,0.0,0.0,238.0,32.24,0.0,116.0,25.0,38.0,0.102,0.0,250.0,2.244,0.986,3.488,3.9,104.0,24.0,71.0,47.0,2.09,24.0,1984.0,52.0,3.759,318.0,385.0,12.63,79.0,0.34,22.5,457.0,7.53,0.0,0.274,7.83,89.0,2.18,0.0,0.189,0.6,0.0,0.81,0.0,5.3,45.3,2.53
"School Lunch, pizza, sausage topping, thick crust, whole grain, frozen, cooked",0.9188,26,65,40.0,0.9188,0.8955,0.9736,0.142,0.164,0.542,2.148,0.292,0.782,2.493,1.069,0.085,0.0,0.015,0.032,0.001,0.003,0.006,0.005,0.112,0.094,0.059,0.0,0.0,168.0,30.58,0.0,78.0,26.0,29.1,0.123,0.0,257.0,2.89,1.21,4.219,4.0,120.0,25.0,81.0,56.0,2.21,23.0,1944.0,23.0,4.1,279.0,282.0,13.26,54.0,0.311,25.0,433.0,3.72,0.0,0.326,9.07,60.0,0.34,0.0,0.122,0.4,0.0,0.75,0.0,3.3,45.31,1.6
"School Lunch, chicken patty, whole grain breaded",30.528,26,65,40.0,30.528,,33.2014,0.0,0.0,0.0,2.162,0.361,0.481,4.035,6.419,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12.5,0.0,1.0,36.0,35.9,0.097,0.0,246.0,4.396,6.593,2.642,2.3,12.0,5.0,9.0,4.0,3.77,0.0,0.0,26.0,5.104,221.0,278.0,17.64,0.0,0.162,24.9,467.0,0.55,0.0,0.097,13.93,0.0,0.31,0.0,0.195,0.7,0.3,1.36,0.0,4.9,53.84,1.12
"School Lunch, chicken nuggets, whole grain breaded",33.6363,26,65,40.0,33.6363,37.5056,35.71,0.003,0.005,0.041,2.191,0.273,0.494,3.248,3.865,0.267,0.001,0.052,0.026,0.002,0.003,0.003,0.002,0.001,0.0,0.004,0.0,0.0,32.0,22.86,0.0,0.0,50.0,44.9,0.074,0.0,270.0,3.593,4.189,2.83,2.2,15.0,6.0,11.0,5.0,1.99,0.0,0.0,24.0,5.985,183.0,231.0,15.67,16.0,0.204,17.7,511.0,0.49,0.0,0.092,12.9,16.0,0.24,0.0,0.309,0.6,0.3,1.23,0.0,10.4,46.53,0.71
"Macaroni and Cheese, canned entree",1.7114,26,65,40.0,1.7114,2.3501,1.5853,0.0,0.0,0.175,0.591,0.0,0.115,0.6,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.52,0.0,5.0,6.0,5.4,0.296,0.0,82.0,0.6,0.303,0.881,0.5,21.0,2.0,13.0,11.0,0.9,2.0,0.0,9.0,1.183,47.0,84.0,3.38,17.0,0.114,9.5,302.0,0.5,0.0,0.101,2.46,17.0,0.15,0.0,0.037,0.0,0.0,0.05,0.0,0.2,81.39,0.45
"Ravioli, cheese-filled, canned",0.8664,26,65,40.0,0.8664,1.1149,,0.019,0.017,0.107,0.351,0.039,0.136,0.36,0.156,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.017,0.009,0.0,0.0,33.0,13.64,0.0,124.0,3.0,9.5,0.142,0.0,77.0,0.418,0.182,0.723,1.3,26.0,11.0,20.0,9.0,0.74,16.0,8625.0,15.0,1.06,50.0,232.0,2.48,0.0,0.08,3.5,306.0,3.72,0.0,0.074,1.45,10.0,0.03,0.0,0.102,0.0,0.0,0.85,0.0,2.3,80.91,0.36
"Ravioli, meat-filled, with tomato sauce or meat sauce, canned",3.9932,26,65,40.0,3.9932,4.2792,5.1355,0.002,0.003,0.103,0.816,0.116,0.462,1.429,0.213,0.013,0.0,0.013,0.002,0.002,0.001,0.001,0.0,0.002,0.0,0.001,0.0,0.0,12.0,13.26,1.0,121.0,5.0,12.5,0.053,0.0,97.0,1.617,0.237,1.46,1.5,28.0,11.0,21.0,10.0,1.09,65.0,3335.0,12.0,1.245,40.0,178.0,3.24,4.0,0.057,9.6,283.0,1.97,0.0,0.057,3.41,14.0,0.15,0.0,0.055,0.0,0.0,0.5,0.0,0.8,79.12,0.39
"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",23.9809,26,65,40.0,23.9809,29.2376,22.237,0.126,0.159,0.597,1.632,0.133,0.534,1.822,0.372,0.084,0.0,0.001,0.004,0.0,0.0,0.0,0.001,0.262,0.089,0.052,0.0,0.0,152.0,47.0,0.0,11.0,42.0,5.4,0.08,1.0,307.0,2.066,0.461,3.6,1.9,117.0,12.0,74.0,62.0,1.5,32.0,0.0,21.0,2.696,212.0,89.0,13.5,37.0,0.31,23.9,406.0,0.95,0.0,0.313,7.23,38.0,0.16,0.0,0.043,0.0,0.0,0.16,0.0,1.3,30.5,1.02
"Beef, corned beef hash, with potato, canned",28.9409,26,65,40.0,28.9409,30.8747,,0.029,0.019,0.342,2.545,0.767,1.202,4.489,0.234,0.065,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.27,0.0,0.0,32.0,15.6,0.0,0.0,164.0,5.26,0.3,4.32,1.1,7.0,7.0,7.0,0.0,1.0,5.0,0.0,13.0,1.572,56.0,172.0,8.73,0.0,0.05,7.5,412.0,0.34,0.0,0.069,10.24,0.0,0.41,0.0,0.231,0.9,0.0,0.04,0.0,1.8,70.32,1.4
"Lasagna, cheese, frozen, prepared",-19.59,26,65,40.0,-19.59,,,0.0,0.061,0.369,1.212,0.111,0.469,1.462,0.893,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,13.84,2.0,87.0,13.0,10.3,0.109,0.0,130.0,1.573,1.022,2.11,1.7,51.0,6.0,32.0,26.0,1.27,28.0,2779.0,21.0,1.361,107.0,182.0,6.54,39.0,0.154,26.2,284.0,4.23,0.0,0.114,5.33,46.0,0.57,0.0,0.069,17.1,0.0,0.88,0.0,9.1,72.78,0.91
"Lasagna with meat & sauce, frozen entree",-4.831,26,65,40.0,-4.831,,-4.8617,0.045,0.05,0.23,1.06,0.124,0.522,1.411,0.315,0.023,0.0,0.013,0.006,0.0,0.0,0.003,0.0,0.037,0.026,0.016,0.0,0.0,73.0,14.39,7.0,222.0,14.0,15.3,0.086,2.0,124.0,1.6,0.358,2.067,1.4,22.0,3.0,14.0,11.0,0.65,175.0,3350.0,18.0,1.426,102.0,184.0,6.63,18.0,0.05,14.8,347.0,2.96,0.0,0.052,4.42,37.0,0.74,0.0,0.124,4.1,0.0,0.87,0.0,5.9,73.1,0.79
"Egg rolls, vegetable, frozen, prepared",3.4014,26,65,40.0,3.4014,,3.2818,0.007,0.004,0.013,0.779,0.012,0.271,1.769,3.033,0.366,0.0,0.027,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,50.0,31.77,179.0,494.0,0.0,14.7,0.096,0.0,214.0,1.811,3.406,1.138,2.4,75.0,66.0,71.0,5.0,1.95,149.0,10.0,23.0,2.519,72.0,222.0,5.95,0.0,0.245,11.1,490.0,5.96,0.0,0.279,6.97,49.0,0.0,0.0,0.095,6.7,0.0,0.75,0.0,39.4,53.37,0.45
"Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",-4.1325,26,65,40.0,-4.1325,-3.8395,,0.007,0.01,0.05,0.572,0.055,0.237,1.18,0.965,0.102,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.32,0.0,124.0,14.0,17.1,0.056,0.0,128.0,1.235,1.087,0.877,1.3,29.0,16.0,24.0,7.0,0.79,327.0,0.0,18.0,3.057,106.0,230.0,6.97,34.0,0.252,7.9,326.0,4.82,0.0,0.138,3.89,44.0,0.33,0.0,0.177,0.8,0.1,0.24,0.0,11.5,71.16,0.48
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)",2.564,26,65,40.0,2.564,,2.6099,0.0,0.0,0.006,0.245,0.038,0.075,0.465,0.384,0.019,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.46,107.0,287.0,16.0,13.4,0.03,43.0,126.0,0.503,0.415,0.327,0.7,22.0,13.0,18.0,5.0,0.35,97.0,53.0,14.0,2.27,94.0,123.0,5.65,2.0,0.055,7.1,333.0,4.07,0.0,0.073,1.56,32.0,0.32,0.32,0.16,3.0,0.0,0.23,0.0,3.8,69.09,0.38
"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",-1.7105,26,65,40.0,-1.7105,-2.0286,-1.8355,0.0,0.0,0.164,0.77,0.0,0.217,0.665,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,70.12,0.0,5.0,7.0,36.0,0.193,0.0,379.0,0.665,0.813,1.151,3.2,334.0,17.0,204.0,187.0,2.75,15.0,0.0,49.0,3.882,331.0,347.0,13.86,17.0,0.626,47.5,680.0,9.61,0.0,1.04,4.82,18.0,0.77,0.0,0.142,0.7,0.0,0.13,0.0,0.2,8.05,1.23
Potato salad with egg,16.1505,26,65,40.0,16.1505,,20.0027,0.002,0.0,0.008,0.965,0.02,0.387,1.931,4.33,0.631,0.0,0.027,0.013,0.0,0.016,0.0,0.003,0.0,0.0,0.002,0.0,0.0,15.0,16.18,5.0,67.0,17.0,18.2,0.041,3.0,157.0,2.0,4.983,1.437,1.3,13.0,13.0,13.0,0.0,0.5,43.0,0.0,15.0,0.8,53.0,242.0,1.96,13.0,0.017,2.4,329.0,4.95,0.0,0.032,9.4,19.0,0.07,0.0,0.115,0.8,0.1,0.68,0.0,14.3,70.99,0.33
"Corn dogs, frozen, prepared",11.306,26,65,40.0,11.306,10.3971,10.7511,0.002,0.011,0.081,2.569,0.483,0.724,4.115,3.055,0.193,0.002,0.068,0.043,0.004,0.028,0.006,0.003,0.002,0.0,0.003,0.0,0.0,72.0,26.96,0.0,3.0,44.0,26.9,0.072,4.0,250.0,4.732,3.354,3.466,1.0,97.0,7.0,60.0,53.0,1.9,132.0,0.0,17.0,2.786,224.0,125.0,8.57,47.0,0.155,27.6,668.0,7.54,0.0,0.141,12.02,48.0,0.48,0.0,0.117,0.5,0.4,0.6,0.0,5.8,50.32,0.85
"Chicken, nuggets, dark and white meat, precooked, frozen, not reheated",32.675,26,65,40.0,32.675,35.785,35.4151,0.001,0.005,0.05,2.734,0.435,0.701,4.962,6.24,0.474,0.003,0.096,0.043,0.004,0.006,0.004,0.003,0.0,0.0,0.004,0.0,0.0,47.0,16.09,0.0,48.0,32.0,45.5,0.1,25.0,268.0,5.524,6.81,3.598,1.6,35.0,35.0,35.0,0.0,0.95,85.0,0.0,25.0,3.275,165.0,206.0,12.02,11.0,0.147,17.0,540.0,0.72,0.0,0.087,17.31,16.0,0.23,0.0,0.221,0.4,0.3,1.92,0.0,10.0,52.36,0.78
"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",-11.632,26,65,40.0,-11.632,-14.5623,-15.7134,0.046,0.049,0.169,0.61,0.035,0.208,0.627,0.367,0.033,0.001,0.007,0.005,0.004,0.001,0.002,0.001,0.025,0.02,0.019,0.0,0.0,79.0,17.31,0.0,262.0,11.0,19.6,0.079,0.0,111.0,0.689,0.42,1.191,1.4,70.0,13.0,47.0,34.0,0.93,293.0,2966.0,20.0,1.267,78.0,233.0,4.52,14.0,0.116,12.1,280.0,4.09,0.0,0.118,2.61,35.0,0.14,0.0,0.108,2.8,0.1,0.98,0.0,16.1,74.33,0.43
"Chicken tenders, breaded, frozen, prepared",25.8067,26,65,40.0,25.8067,28.8538,25.382,0.006,0.005,0.026,1.829,0.177,0.463,3.815,5.811,0.356,0.001,0.069,0.03,0.0,0.003,0.003,0.003,0.0,0.0,0.004,0.0,0.0,39.0,14.86,0.0,9.0,36.0,46.2,0.085,7.0,240.0,4.081,6.235,2.437,1.7,33.0,20.0,28.0,7.0,0.84,44.0,0.0,29.0,5.917,200.0,281.0,14.62,5.0,0.064,19.3,527.0,0.57,0.0,0.132,13.58,7.0,0.18,0.0,0.338,0.5,0.1,2.22,0.0,17.7,54.83,0.61
"RICE-A-RONI, chicken flavor, unprepared",46.1241,26,65,40.0,46.1241,47.3116,,0.0,0.0,0.013,0.327,0.007,0.034,0.296,0.429,0.017,0.0,0.005,0.001,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,18.0,76.08,0.0,29.0,0.0,9.4,0.176,1.0,356.0,0.328,0.463,0.389,1.2,28.0,22.0,26.0,4.0,2.77,105.0,2.0,31.0,5.123,126.0,153.0,10.64,0.0,0.097,32.9,884.0,0.7,0.0,0.593,1.04,3.0,0.0,0.0,0.183,0.0,0.0,0.15,0.0,0.6,8.19,1.36
"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",46.7649,27,65,41.5,46.7649,43.1909,45.5043,0.012,0.014,0.52,4.118,0.618,2.505,7.343,0.703,0.032,0.0,0.043,0.046,0.002,0.0,0.012,0.001,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,83.0,89.5,0.065,0.0,276.0,8.287,0.822,7.481,0.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,20.0,5.523,208.0,257.0,25.4,7.0,0.232,25.1,64.0,0.0,0.0,0.057,18.57,7.0,2.03,0.0,0.623,0.0,0.1,0.24,0.0,1.6,55.6,4.13
"Beef, chuck for stew, separable lean and fat, all grades, cooked, braised",26.7672,26,65,40.0,26.7672,25.4557,25.6366,0.0,0.0,0.173,1.546,0.238,0.989,3.146,0.366,0.014,0.0,0.011,0.065,0.005,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,99.0,102.6,0.12,0.0,191.0,3.5,0.45,2.8,0.0,8.0,8.0,8.0,0.0,2.96,0.0,0.0,23.0,4.117,228.0,319.0,32.41,2.0,0.25,34.6,67.0,0.0,0.0,0.075,6.82,2.0,2.73,0.0,0.511,0.0,0.1,0.11,0.0,1.6,60.08,8.32
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",50.8177,26,65,40.0,50.8177,48.9391,,0.0,0.0,0.569,4.504,0.599,2.919,8.551,0.743,0.038,0.0,0.051,0.06,0.003,0.0,0.005,0.001,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,99.0,83.2,0.086,0.0,291.0,9.478,0.857,8.261,0.0,6.0,6.0,6.0,0.0,2.68,0.0,0.0,19.0,3.568,173.0,262.0,26.7,8.0,0.213,30.8,62.0,0.0,0.0,0.066,20.49,8.0,3.02,0.0,0.295,0.0,0.1,0.08,0.0,1.6,52.51,9.14
"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",27.1771,27,65,41.5,27.1771,29.8702,26.786,0.005,0.007,0.269,2.33,0.325,1.385,4.321,0.437,0.017,0.0,0.014,0.06,0.001,0.0,0.014,0.001,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,79.0,57.0,0.09,0.0,207.0,4.866,0.548,4.2,0.0,7.0,7.0,7.0,0.0,2.53,0.0,0.0,25.0,5.799,177.0,296.0,27.97,2.0,0.323,35.6,59.0,0.0,0.0,0.08,10.57,2.0,2.32,0.0,0.558,0.0,0.1,0.1,0.0,1.6,61.36,7.0
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",33.5786,27,65,41.5,33.5786,34.3872,35.9113,0.0,0.0,0.378,3.084,0.447,2.035,6.133,0.673,0.025,0.0,0.026,0.088,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.21,0.0,0.0,93.0,90.0,0.108,0.0,227.0,6.809,0.79,5.692,0.0,6.0,6.0,6.0,0.0,3.26,0.0,0.0,23.0,3.591,202.0,310.0,26.18,7.0,0.243,29.9,73.0,0.0,0.0,0.089,13.54,7.0,3.68,0.0,0.413,0.0,0.1,0.08,0.0,1.6,59.08,9.85
"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",48.1889,27,65,41.5,48.1889,51.5748,48.4005,0.016,0.017,0.645,5.109,0.704,3.435,9.407,0.889,0.038,0.0,0.046,0.056,0.001,0.0,0.014,0.001,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,80.0,48.8,0.08,0.0,291.0,10.519,1.027,9.684,0.0,6.0,6.0,6.0,0.0,2.24,0.0,0.0,22.0,4.908,152.0,260.0,23.69,8.0,0.287,29.7,54.0,0.0,0.0,0.071,21.81,8.0,2.1,0.0,0.477,0.0,0.2,0.1,0.0,1.6,54.49,5.91
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",35.865,27,65,41.5,35.865,,,0.008,0.007,0.345,2.868,0.509,1.606,5.479,0.501,0.011,0.0,0.015,0.067,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,92.0,60.3,0.108,0.0,245.0,6.278,0.616,5.057,0.0,7.0,7.0,7.0,0.0,2.44,0.0,0.0,23.0,6.338,168.0,298.0,29.36,7.0,0.348,33.3,63.0,0.0,0.0,0.083,14.2,7.0,2.91,0.0,0.483,0.0,0.1,0.1,0.0,1.6,56.07,8.06
"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",22.1871,26,65,40.0,22.1871,21.2759,23.6018,0.005,0.003,0.101,0.951,0.137,0.542,1.712,0.218,0.006,0.0,0.008,0.044,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,77.0,79.7,0.059,0.0,160.0,1.918,0.301,1.671,0.0,5.0,5.0,5.0,0.0,2.88,0.0,0.0,15.0,7.929,270.0,384.0,29.9,4.0,0.289,27.2,67.0,0.0,0.0,0.078,4.49,4.0,2.02,0.0,0.779,0.0,0.0,0.28,0.0,1.9,64.56,4.54
